year,sex,location,source,count
2005,Men,Group Donation,Korean Red Cross,1076221
2005,Men,Group Donation,Central Seoul,102272
2005,Men,Group Donation,Western Seoul,49825
2005,Men,Group Donation,Southern Seoul,77796
2005,Men,Group Donation,Eastern Seoul,98942
2005,Men,Group Donation,Busan,79827
2005,Men,Group Donation,Daegu/Gyeongbook,92169
2005,Men,Group Donation,Incheon,49722
2005,Men,Group Donation,Ulsan,34378
2005,Men,Group Donation,Gyeonggi,65739
2005,Men,Group Donation,Gangwon,63228
2005,Men,Group Donation,Chungbook,35726
2005,Men,Group Donation,Daejeon/Sejong/Chungnaam,108029
2005,Men,Group Donation,Jeonbook,57267
2005,Men,Group Donation,Gwangju/Jeonnaam,80038
2005,Men,Group Donation,Gyeongnaam,63824
2005,Men,Group Donation,Jeju,17439
2005,Men,Group Donation,Outside of Korean Red Cross,0
2005,Men,Highschool,Korean Red Cross,215765
2005,Men,Highschool,Central Seoul,14522
2005,Men,Highschool,Western Seoul,10700
2005,Men,Highschool,Southern Seoul,10484
2005,Men,Highschool,Eastern Seoul,15448
2005,Men,Highschool,Busan,16943
2005,Men,Highschool,Daegu/Gyeongbook,23884
2005,Men,Highschool,Incheon,20834
2005,Men,Highschool,Ulsan,10232
2005,Men,Highschool,Gyeonggi,14392
2005,Men,Highschool,Gangwon,4076
2005,Men,Highschool,Chungbook,9325
2005,Men,Highschool,Daejeon/Sejong/Chungnaam,17240
2005,Men,Highschool,Jeonbook,15475
2005,Men,Highschool,Gwangju/Jeonnaam,20559
2005,Men,Highschool,Gyeongnaam,8246
2005,Men,Highschool,Jeju,3405
2005,Men,Highschool,Outside of Korean Red Cross,0
2005,Men,University,Korean Red Cross,76161
2005,Men,University,Central Seoul,5349
2005,Men,University,Western Seoul,1268
2005,Men,University,Southern Seoul,3429
2005,Men,University,Eastern Seoul,6598
2005,Men,University,Busan,4147
2005,Men,University,Daegu/Gyeongbook,8953
2005,Men,University,Incheon,736
2005,Men,University,Ulsan,951
2005,Men,University,Gyeonggi,9565
2005,Men,University,Gangwon,1163
2005,Men,University,Chungbook,6788
2005,Men,University,Daejeon/Sejong/Chungnaam,7048
2005,Men,University,Jeonbook,6670
2005,Men,University,Gwangju/Jeonnaam,7064
2005,Men,University,Gyeongnaam,5328
2005,Men,University,Jeju,1104
2005,Men,University,Outside of Korean Red Cross,0
2005,Men,Military Base,Korean Red Cross,558391
2005,Men,Military Base,Central Seoul,68038
2005,Men,Military Base,Western Seoul,27199
2005,Men,Military Base,Southern Seoul,50737
2005,Men,Military Base,Eastern Seoul,67664
2005,Men,Military Base,Busan,33546
2005,Men,Military Base,Daegu/Gyeongbook,35435
2005,Men,Military Base,Incheon,19003
2005,Men,Military Base,Ulsan,8786
2005,Men,Military Base,Gyeonggi,16439
2005,Men,Military Base,Gangwon,54669
2005,Men,Military Base,Chungbook,13528
2005,Men,Military Base,Daejeon/Sejong/Chungnaam,70573
2005,Men,Military Base,Jeonbook,24913
2005,Men,Military Base,Gwangju/Jeonnaam,26154
2005,Men,Military Base,Gyeongnaam,35320
2005,Men,Military Base,Jeju,6387
2005,Men,Military Base,Outside of Korean Red Cross,0
2005,Men,Religion,Korean Red Cross,18438
2005,Men,Religion,Central Seoul,2035
2005,Men,Religion,Western Seoul,2579
2005,Men,Religion,Southern Seoul,2191
2005,Men,Religion,Eastern Seoul,2239
2005,Men,Religion,Busan,1139
2005,Men,Religion,Daegu/Gyeongbook,1051
2005,Men,Religion,Incheon,886
2005,Men,Religion,Ulsan,316
2005,Men,Religion,Gyeonggi,1106
2005,Men,Religion,Gangwon,290
2005,Men,Religion,Chungbook,348
2005,Men,Religion,Daejeon/Sejong/Chungnaam,858
2005,Men,Religion,Jeonbook,594
2005,Men,Religion,Gwangju/Jeonnaam,1522
2005,Men,Religion,Gyeongnaam,1040
2005,Men,Religion,Jeju,244
2005,Men,Religion,Outside of Korean Red Cross,0
2005,Men,Community,Korean Red Cross,207466
2005,Men,Community,Central Seoul,12328
2005,Men,Community,Western Seoul,8079
2005,Men,Community,Southern Seoul,10955
2005,Men,Community,Eastern Seoul,6993
2005,Men,Community,Busan,24052
2005,Men,Community,Daegu/Gyeongbook,22846
2005,Men,Community,Incheon,8263
2005,Men,Community,Ulsan,14093
2005,Men,Community,Gyeonggi,24237
2005,Men,Community,Gangwon,3030
2005,Men,Community,Chungbook,5737
2005,Men,Community,Daejeon/Sejong/Chungnaam,12310
2005,Men,Community,Jeonbook,9615
2005,Men,Community,Gwangju/Jeonnaam,24739
2005,Men,Community,Gyeongnaam,13890
2005,Men,Community,Jeju,6299
2005,Men,Community,Outside of Korean Red Cross,0
